epoch,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice,lr
1,0.882322,0.157019,0.203957,0.589852,0.183360,0.235854,0.00005050
2,0.756483,0.213130,0.264704,0.613090,0.175640,0.205543,0.00000100
